x nm,y km-1
233.7209302,3.992307692
239.1472868,2.915384615
244.5736434,1.861538462
249.2248062,1.515384615
255.0387597,1.246153846
259.6899225,1.115384615
269.7674419,0.884615385
279.4573643,0.776923077
290.6976744,0.615384615
300.3875969,0.484615385
310.4651163,0.415384615
320.5426357,0.353846154
331.0077519,0.269230769
340.6976744,0.2
350.7751938,0.138461538
361.627907,0.1
380.620155,0.038461538
401.5503876,0.046153846
427.1317829,0.030769231
447.6744186,0.015384615
483.7209302,0.015384615
502.3255814,0
